sentence_id,word_id,word,nFix,FFD,GPT,TRT,fixProp
3,4,and,1.2,167.4,209.4,280.0,0.6
3,5,posturing,2.0,452.4,472.4,1048.2,0.8
3,6,",",0.2,60.6,60.6,60.6,0.2
3,7,and,1.2,140.6,140.6,298.2,0.6
3,8,yet,0.8,74.6,74.6,163.8,0.4
3,9,it,0.8,173.4,173.4,232.2,0.6
3,10,has,0.6,184.0,184.0,236.0,0.4
3,11,been,1.4,217.0,217.0,423.6,0.6
3,12,made,1.6,133.2,262.0,466.6,0.6
3,13,with,1.2,226.6,226.6,340.6,0.8
3,14,great,1.4,214.0,234.0,367.4,0.8
3,15,evident,2.4,265.4,306.2,547.6,1.0
3,16,care,1.2,217.2,1071.8,269.8,0.8
3,17,and,0.4,84.0,84.0,84.0,0.4
3,18,manages,2.6,155.4,715.6,461.4,0.8
3,19,to,0.8,294.6,346.0,596.6,0.6
3,20,deliver,1.8,218.6,1226.8,488.0,0.8
3,21,up,0.8,71.8,71.8,147.2,0.4
3,22,the,0.8,133.8,418.4,180.4,0.6
3,23,man,2.2,235.8,235.8,581.2,0.8
3,24,in,1.2,170.2,281.0,402.2,0.8
3,25,a,0.6,122.6,313.4,122.6,0.6
3,26,way,0.6,255.8,620.4,255.8,0.6
3,27,to,0.8,97.4,97.4,169.4,0.4
3,28,arouse,1.4,256.6,421.2,569.2,0.6
3,29,further,1.2,137.2,1541.2,431.2,0.4
3,30,curiosity,1.2,170.2,170.2,257.6,0.8
3,31,in,1.0,96.0,538.0,159.6,0.4
3,32,even,2.0,417.2,524.4,655.8,1.0
3,33,the,0.2,72.8,72.8,72.8,0.2
3,34,most,0.6,117.4,187.4,117.4,0.6
3,35,unknowing,4.4,237.4,2098.0,1193.0,1.0
3,36,viewer,2.0,182.2,1261.4,593.2,0.8
3,37,.<EOS>,1.6,81.4,6586.0,580.6,0.4
4,0,Bad,1.6,82.0,138.0,262.0,0.6
4,1,company,3.0,175.6,287.0,754.4,0.8
4,2,has,1.0,95.4,95.4,181.4,0.6
4,3,one,0.8,166.0,166.0,210.6,0.6
4,4,of,0.2,38.0,38.0,38.0,0.2
4,5,the,0.2,38.6,166.6,38.6,0.2
4,6,most,0.8,135.4,135.4,172.8,0.6
4,7,moronic,1.8,226.6,226.6,608.0,0.6
4,8,screenplays,3.6,171.4,361.4,1022.0,0.6
4,9,of,0.6,82.8,129.4,129.4,0.4
4,10,the,0.8,265.4,356.8,265.4,0.8
4,11,year,0.8,311.2,311.2,441.8,0.6
4,12,",",0.0,0.0,0.0,0.0,0.0
4,13,full,1.0,158.8,158.8,403.8,0.4
4,14,of,1.0,194.8,194.8,308.6,0.6
4,15,holes,1.6,194.6,232.6,340.8,1.0
4,16,that,1.0,165.2,727.0,220.6,0.8
4,17,will,0.2,40.0,40.0,40.0,0.2
4,18,be,0.2,59.4,59.4,59.4,0.2
4,19,obvious,2.4,248.8,248.8,749.2,1.0
4,20,even,2.2,91.2,308.8,529.6,0.6
4,21,to,0.6,201.2,244.0,201.2,0.6
4,22,those,1.8,158.8,1277.2,826.6,0.6
4,23,who,1.8,179.6,433.0,373.0,0.8
4,24,aren't,2.8,166.2,424.2,808.2,0.8
4,25,looking,2.2,290.6,3607.0,679.2,0.8
4,26,for,0.6,105.4,861.6,121.4,0.4
4,27,them,0.4,227.4,1981.2,227.4,0.4
4,28,.<EOS>,0.0,0.0,0.0,0.0,0.0
5,0,Once,2.2,112.6,139.2,401.4,0.6
5,1,again,1.6,169.4,200.6,396.8,0.6
5,2,",",0.4,43.4,43.4,78.8,0.2
5,3,director,2.2,135.0,435.4,769.4,0.6
5,4,chris,0.8,98.0,98.0,267.8,0.4
5,5,columbus,2.0,277.2,369.2,636.6,0.8
5,6,takes,1.2,212.8,212.8,384.6,0.6
5,7,a,0.6,226.6,420.0,226.6,0.6
5,8,hat-in-hand,4.0,244.6,593.2,1266.0,0.8
5,9,approach,1.2,169.8,222.4,246.4,0.8
5,10,to,0.2,37.4,37.4,37.4,0.2
5,11,rowling,2.4,169.4,347.4,621.2,0.8
5,12,that,2.0,318.6,538.0,687.0,1.0
5,13,stifles,1.2,80.0,1849.0,196.0,0.6
5,14,creativity,2.8,207.6,301.4,596.0,0.8
5,15,and,0.4,30.0,100.0,88.6,0.2
5,16,allows,0.8,175.4,175.4,226.0,0.6
5,17,the,0.2,50.6,50.6,50.6,0.2
5,18,film,1.2,206.8,206.8,289.0,0.8
5,19,to,0.0,0.0,0.0,0.0,0.0
5,20,drag,0.6,94.0,1610.4,144.6,0.4
5,21,on,0.8,144.2,144.2,280.8,0.4
5,22,for,0.0,0.0,0.0,0.0,0.0
5,23,nearly,1.2,212.4,272.4,350.4,0.6
5,24,three,2.4,135.6,1370.8,472.8,0.6
5,25,hours,0.2,33.4,405.6,33.4,0.2
5,26,.<EOS>,0.8,73.2,1313.6,114.4,0.4
6,0,[schweiger,3.4,161.8,251.4,856.6,0.8
6,1,is],0.6,82.8,167.6,196.2,0.4
6,2,talented,3.2,192.8,192.8,921.0,0.8
6,3,and,2.0,439.6,496.2,720.8,1.0
6,4,terribly,5.2,229.0,349.6,1175.8,1.0
6,5,charismatic,4.6,393.2,958.6,1271.2,1.0
6,6,",",0.4,69.8,434.4,69.8,0.4
6,7,qualities,2.2,229.8,257.8,507.8,0.8
6,8,essential,2.6,354.8,458.0,750.6,1.0
6,9,to,0.0,0.0,0.0,0.0,0.0
6,10,both,1.4,182.0,197.4,236.8,1.0
6,11,movie,1.6,180.6,235.4,324.2,0.8
6,12,stars,1.6,210.2,613.0,432.0,0.8
6,13,and,0.4,40.0,40.0,64.6,0.2
6,14,social,1.6,212.6,527.8,392.8,0.8
6,15,anarchists,3.2,216.6,4424.2,1198.8,0.8
6,16,.<EOS>,1.2,325.4,1849.8,383.6,0.6
7,0,This,1.2,66.6,66.6,185.8,0.6
7,1,is,0.8,67.2,95.8,206.0,0.2
7,2,the,0.6,30.0,30.0,82.6,0.2
7,3,kind,1.2,50.8,80.8,234.6,0.2
7,4,of,0.6,92.8,145.4,112.8,0.4
7,5,movie,0.8,145.4,145.4,166.8,0.6
7,6,during,1.4,202.6,202.6,355.4,0.6
7,7,which,1.0,124.8,124.8,205.6,0.6
7,8,you,0.8,71.8,71.8,153.8,0.4
7,9,want,1.6,104.2,154.8,481.2,0.4
7,10,to,0.6,62.0,140.6,105.4,0.4
7,11,bang,2.2,193.2,193.2,543.8,0.8
7,12,your,1.0,171.8,215.0,262.4,0.6
7,13,head,1.6,191.4,289.4,573.4,0.6
7,14,on,0.6,165.2,513.4,165.2,0.6
7,15,the,0.6,155.4,155.4,205.4,0.4
7,16,seat,0.6,165.4,165.4,165.4,0.6
7,17,in,0.8,116.8,116.8,149.4,0.6
7,18,front,0.6,124.8,1312.6,124.8,0.6
7,19,of,0.0,0.0,0.0,0.0,0.0
7,20,you,0.6,106.0,194.6,106.0,0.6
7,21,",",0.4,62.2,90.8,62.2,0.4
7,22,at,1.0,145.8,196.6,204.4,0.6
7,23,its,1.2,337.2,409.2,435.8,0.6
7,24,cluelessness,2.6,287.2,851.0,654.2,1.0
7,25,",",0.0,0.0,0.0,0.0,0.0
7,26,at,0.2,26.0,26.0,26.0,0.2
7,27,its,1.0,165.4,989.0,248.6,0.6
7,28,idiocy,1.0,150.8,335.4,255.4,0.6
7,29,",",0.0,0.0,0.0,0.0,0.0
7,30,at,0.0,0.0,0.0,0.0,0.0
7,31,its,0.2,246.0,282.0,246.0,0.2
7,32,utterly,2.2,157.2,1247.4,503.2,0.8
7,33,misplaced,1.6,117.4,316.6,449.8,0.6
7,34,earnestness,1.8,248.0,1740.0,613.6,0.6
7,35,.<EOS>,0.0,0.0,0.0,0.0,0.0
8,0,The,1.2,102.0,102.0,213.8,0.4
8,1,50-something,6.2,264.8,707.4,1759.6,1.0
8,2,lovebirds,3.2,259.0,387.0,772.6,1.0
8,3,are,1.0,195.4,195.4,195.4,1.0
8,4,too,1.2,331.2,428.0,370.6,1.0
8,5,immature,6.2,287.4,691.4,1392.2,1.0
8,6,and,1.0,40.6,182.0,118.6,0.4
8,7,unappealing,6.6,257.0,445.6,1348.4,1.0
8,8,to,0.6,52.6,208.6,134.6,0.2
8,9,care,2.2,304.6,1257.8,637.8,1.0
8,10,about,1.0,494.8,4886.0,494.8,1.0
8,11,.<EOS>,0.0,0.0,0.0,0.0,0.0
9,0,An,2.0,120.6,139.4,397.2,0.6
9,1,incredibly,7.8,363.8,393.8,2131.6,0.8
9,2,narrow,3.6,327.0,481.2,979.2,1.0
9,3,in-joke,4.8,314.6,562.6,1299.4,1.0
9,4,targeted,3.4,279.0,836.2,1147.6,1.0
9,5,to,0.4,84.8,84.8,84.8,0.4
9,6,the,1.8,287.8,287.8,628.2,0.8
9,7,tiniest,4.0,271.0,395.8,1159.2,0.8
9,8,segment,3.2,230.8,315.6,655.8,1.0
9,9,of,1.2,277.4,535.4,332.6,0.8
9,10,an,2.2,194.8,295.4,513.0,0.8
9,11,already,3.6,219.2,271.2,1030.4,1.0
9,12,obscure,2.6,205.0,2219.8,747.0,1.0
9,13,demographic,3.8,504.6,3574.8,1622.0,0.8
9,14,.<EOS>,2.6,76.0,6035.2,472.2,0.4
10,0,Whatever,3.6,136.2,223.4,744.8,0.8
10,1,satire,2.8,218.0,319.4,650.6,0.8
10,2,lucky,2.4,134.2,258.0,601.0,0.6
10,3,break,2.4,390.2,390.2,722.8,0.8
10,4,was,1.2,142.0,142.0,274.0,0.6
10,5,aiming,3.0,245.8,433.8,793.8,0.8
10,6,for,1.2,163.6,163.6,442.2,0.6
10,7,",",0.4,43.4,43.4,99.4,0.2
10,8,it,0.2,32.6,32.6,32.6,0.2
10,9,certainly,3.2,131.8,131.8,616.0,0.6
10,10,got,1.8,170.2,194.2,411.4,0.6
10,11,lost,0.4,72.6,72.6,72.6,0.4
10,12,in,1.6,92.8,92.8,472.6,0.4
10,13,the,1.0,81.8,81.8,194.6,0.4
10,14,"""",0.2,30.6,103.8,30.6,0.2
10,15,soon-to-be-forgettable,8.4,320.0,1853.6,2127.8,1.0
10,16,"""",0.8,52.8,52.8,118.8,0.4
10,17,section,5.4,177.2,445.6,1258.2,1.0
10,18,of,1.2,192.6,815.6,267.8,1.0
10,19,the,1.4,201.4,1346.6,528.6,0.8
10,20,quirky,4.2,179.2,736.6,992.2,1.0
10,21,rip-off,3.0,242.0,287.4,659.6,0.8
10,22,prison,3.2,269.4,674.8,915.4,0.8
10,23,romp,2.4,208.0,600.6,527.8,0.8
10,24,pile,1.0,92.0,114.0,212.2,0.4
10,25,.,0.2,16.6,16.6,16.6,0.2
10,26,it's,1.6,82.8,82.8,251.6,0.4
10,27,petty,3.8,172.6,281.8,748.8,0.8
10,28,thievery,3.4,157.2,547.8,735.6,0.8
10,29,like,2.0,344.0,815.0,592.4,0.8
10,30,this,2.2,227.2,715.8,390.6,0.8
10,31,that,0.8,95.4,278.2,95.4,0.8
10,32,puts,0.8,148.2,848.4,164.2,0.6
10,33,flimsy,2.8,237.8,409.8,678.4,0.8
10,34,flicks,2.0,140.0,285.4,361.4,0.8
10,35,like,1.6,165.8,1358.6,442.4,0.8
10,36,this,1.0,146.0,1017.8,265.4,0.6
10,37,behind,2.8,194.0,194.0,607.8,0.8
10,38,bars<EOS>,4.4,507.2,9874.6,1006.8,0.8
11,0,Serving,3.2,196.8,244.8,848.4,0.8
11,1,sara,2.8,204.2,682.4,616.4,1.0
11,2,is,1.0,266.6,290.4,302.6,0.8
11,3,little,2.6,284.0,440.6,560.0,1.0
11,4,more,3.4,214.6,647.0,870.6,1.0
11,5,than,3.8,159.4,490.8,807.6,1.0
11,6,a,0.8,103.4,123.4,123.4,0.6
11,7,mall,3.8,287.6,549.0,968.2,1.0
11,8,movie,2.8,223.2,384.6,776.8,1.0
11,9,designed,5.8,235.4,936.8,1458.6,1.0
11,10,to,1.6,218.2,1636.2,306.0,1.0
11,11,kill,1.6,266.0,4137.6,682.4,0.8
11,12,time,1.0,136.6,1660.8,237.8,0.6
11,13,.<EOS>,0.2,43.4,174.2,43.4,0.2
12,0,It,0.4,74.6,74.6,74.6,0.4
12,1,has,2.4,152.2,152.2,584.8,0.8
12,2,a,0.6,143.4,174.0,283.4,0.4
12,3,caffeinated,3.6,187.6,398.2,917.8,0.8
12,4,",",0.4,93.8,93.8,93.8,0.4
12,5,sloppy,0.4,131.2,131.2,131.2,0.4
12,6,brilliance,2.0,220.8,413.4,540.2,0.8
12,7,",",0.6,119.4,119.4,147.4,0.4
12,8,sparkling,2.0,312.2,830.2,782.2,0.6
12,9,with,0.4,70.8,70.8,97.6,0.2
12,10,ideas,2.4,189.2,216.4,453.2,0.8
12,11,you,1.2,117.2,117.2,285.0,0.4
12,12,wish,1.0,166.6,166.6,330.6,0.6
12,13,had,1.6,161.4,161.4,366.8,0.8
12,14,been,1.8,159.2,648.8,369.4,0.8
12,15,developed,1.6,179.4,648.4,273.2,1.0
12,16,with,0.8,50.6,190.0,87.4,0.4
12,17,more,2.2,55.4,208.6,314.8,0.4
12,18,care,1.0,271.2,354.4,402.4,0.6
12,19,",",0.6,86.0,86.0,237.2,0.2
12,20,but,1.4,178.0,391.2,220.8,1.0
12,21,animated,5.6,184.6,806.0,1127.6,0.8
12,22,by,0.8,116.4,116.4,133.2,0.6
12,23,an,1.0,222.0,796.0,313.4,0.8
12,24,energy,2.4,150.6,526.0,733.2,0.6
12,25,that,1.8,249.4,473.4,505.2,0.8
12,26,puts,0.6,118.6,118.6,141.2,0.4
12,27,the,1.4,140.0,287.8,327.2,0.6
12,28,dutiful,1.2,197.2,197.2,334.6,0.6
12,29,efforts,2.4,175.2,175.2,454.6,0.8
12,30,of,1.2,106.8,124.8,208.2,0.4
12,31,more,3.6,205.2,500.4,644.6,1.0
12,32,disciplined,2.2,84.2,1231.0,389.2,0.6
12,33,grade-grubbers,5.8,169.2,1411.8,1150.2,1.0
12,34,to,0.2,29.4,212.8,29.4,0.2
12,35,shame,4.6,234.8,5026.4,1230.6,0.8
12,36,.<EOS>,1.0,201.4,3602.8,232.8,0.6
13,0,Benefits,4.6,168.4,279.0,1472.2,0.8
13,1,from,2.2,170.6,170.6,456.8,0.8
13,2,a,2.0,206.8,290.0,656.2,0.8
13,3,strong,3.4,278.0,376.0,851.4,1.0
13,4,performance,3.8,214.0,271.2,974.4,1.0
13,5,from,1.8,262.2,262.2,475.6,0.8
13,6,zhao,1.8,414.0,414.0,810.2,0.8
13,7,",",0.4,132.6,132.6,132.6,0.4
13,8,but,1.4,124.0,553.4,260.6,0.6
13,9,it's,2.4,222.0,270.0,474.6,1.0
13,10,dong,2.8,362.8,403.4,896.8,1.0
13,11,jie's,2.4,461.4,583.2,1028.6,1.0
13,12,face,1.8,224.0,260.0,491.2,0.8
13,13,you,1.6,160.4,855.4,316.2,0.8
13,14,remember,2.6,239.2,1337.2,964.0,0.8
13,15,at,0.2,30.6,2717.8,30.6,0.2
13,16,the,0.6,46.0,266.8,109.2,0.2
13,17,end,1.6,158.0,925.4,467.8,0.6
13,18,.<EOS>,3.6,74.0,3891.8,694.8,0.4
14,0,The,0.4,87.4,87.4,87.4,0.4
14,1,story,2.6,270.0,312.8,825.6,1.0
14,2,loses,1.0,124.8,266.8,250.8,0.6
14,3,its,0.6,76.6,297.8,103.4,0.4
14,4,bite,0.8,214.4,214.4,260.4,0.6
14,5,in,0.6,244.6,368.6,244.6,0.6
14,6,a,0.4,92.6,92.6,92.6,0.4
14,7,last-minute,1.8,136.8,306.0,400.0,0.8
14,8,happy,1.4,156.6,156.6,346.0,0.6
14,9,ending,1.4,214.4,214.4,369.0,0.8
14,10,that's,1.4,190.2,205.4,336.0,0.6
14,11,even,1.0,133.6,133.6,187.0,0.6
14,12,less,0.6,169.4,316.8,169.4,0.6
14,13,plausible,1.0,271.2,271.2,335.2,0.8
14,14,than,0.8,252.0,915.4,252.0,0.8
14,15,the,0.0,0.0,0.0,0.0,0.0
14,16,rest,0.6,72.8,112.8,116.8,0.4
14,17,of,0.8,37.4,37.4,91.2,0.4
14,18,the,0.8,110.2,191.4,196.2,0.6
14,19,picture,2.2,74.0,170.6,328.4,0.4
14,20,.,0.0,0.0,0.0,0.0,0.0
14,21,much,0.6,178.0,178.0,178.0,0.6
14,22,of,1.2,152.6,152.6,289.6,0.4
14,23,the,0.8,146.8,606.8,171.4,0.6
14,24,way,0.8,116.4,116.4,221.8,0.6
14,25,",",0.2,50.8,50.8,50.8,0.2
14,26,though,1.6,120.6,154.0,345.8,0.6
14,27,",",0.2,15.4,40.0,15.4,0.2
14,28,this,0.4,97.8,97.8,97.8,0.4
14,29,is,1.4,127.8,715.4,245.2,0.8
14,30,a,0.4,64.0,64.0,64.0,0.4
14,31,refreshingly,5.0,203.0,826.2,1014.2,0.8
14,32,novel,4.2,177.4,1672.2,784.6,0.8
14,33,ride,1.4,195.6,971.4,290.8,0.6
14,34,.<EOS>,0.2,28.8,1434.8,28.8,0.2
15,0,It,1.8,93.2,93.2,252.4,0.6
15,1,could,5.2,177.0,227.0,942.6,1.0
15,2,change,5.0,145.0,447.0,1103.6,0.8
15,3,america,3.2,174.2,481.4,740.2,0.8
15,4,",",0.6,68.6,91.2,91.2,0.4
15,5,not,1.2,159.4,159.4,258.6,0.6
15,6,only,2.0,142.2,214.8,488.4,0.6
15,7,because,2.2,234.0,333.2,560.6,0.8
15,8,it,0.0,0.0,0.0,0.0,0.0
15,9,is,0.8,167.8,491.8,209.2,0.6
15,10,full,1.6,205.2,389.0,393.0,0.8
15,11,of,1.0,111.4,111.4,181.4,0.6
15,12,necessary,3.2,123.4,358.0,699.8,0.8
15,13,discussion,3.4,261.4,472.0,868.2,0.8
15,14,points,2.0,312.0,1154.4,527.8,1.0
15,15,",",1.0,174.6,1297.4,229.2,0.6
15,16,but,1.0,186.0,650.6,206.6,0.8
15,17,because,2.4,196.8,632.0,514.0,0.8
15,18,it,0.6,40.6,40.6,109.8,0.2
15,19,is,1.2,94.6,496.4,211.8,0.6
15,20,so,1.2,84.0,1459.0,259.8,0.6
15,21,accessible,2.6,227.2,1029.2,664.2,0.8
15,22,that,0.6,45.4,45.4,129.4,0.2
15,23,it,0.4,115.2,115.2,115.2,0.4
15,24,makes,1.2,198.0,198.0,343.2,0.6
15,25,complex,1.2,158.0,1356.6,259.8,0.8
15,26,politics,2.0,157.2,358.2,448.8,0.8
15,27,understandable,3.4,182.0,433.8,725.4,0.8
15,28,to,0.6,32.6,84.4,100.4,0.2
15,29,viewers,2.0,220.8,236.2,352.6,0.8
15,30,looking,1.4,202.6,202.6,349.8,0.8
15,31,for,1.8,75.2,1055.2,294.6,0.4
15,32,nothing,3.4,180.0,640.8,704.2,0.8
15,33,but,1.2,132.0,894.4,221.2,0.8
15,34,energetic,1.6,142.4,198.4,303.8,0.8
15,35,entertainment,2.8,282.0,4278.4,847.4,0.8
15,36,.<EOS>,0.6,23.4,1338.8,56.0,0.2
16,0,A,0.0,0.0,0.0,0.0,0.0
16,1,whimsical,9.8,253.4,434.6,2674.2,1.0
16,2,if,3.0,140.0,196.0,654.8,0.8
16,3,predictable,12.2,237.4,620.0,3486.6,1.0
16,4,time-travel,10.4,187.4,792.8,2723.6,1.0
16,5,fable,3.8,228.0,284.0,1309.6,0.8
16,6,marred,5.2,386.4,824.0,1603.6,1.0
16,7,by,1.6,379.4,733.8,638.8,0.8
16,8,a,0.6,87.4,206.2,87.4,0.6
16,9,willful,5.6,200.0,268.6,1560.2,0.8
16,10,single-mindedness,9.2,271.6,13688.0,3406.8,1.0
16,11,.<EOS>,0.4,15.4,1117.4,106.8,0.2
17,0,It's,2.0,109.4,109.4,373.6,0.6
17,1,tommy's,5.2,132.0,193.8,1198.6,0.8
17,2,job,1.8,125.4,200.6,459.8,0.6
17,3,to,0.8,67.2,145.2,139.8,0.4
17,4,clean,2.8,109.2,109.2,779.0,0.6
17,5,the,1.0,77.4,235.4,248.0,0.4
17,6,peep,3.0,184.4,218.4,773.8,0.8
17,7,booths,3.8,183.6,481.6,1213.0,0.8
17,8,surrounding,4.2,233.2,386.8,1097.2,1.0
17,9,her,1.4,116.8,116.8,475.2,0.4
17,10,",",0.2,25.4,25.4,25.4,0.2
17,11,and,0.8,114.8,114.8,160.2,0.6
17,12,after,1.8,149.8,170.4,370.4,0.8
17,13,viewing,2.8,236.6,236.6,615.8,1.0
17,14,this,1.4,152.6,1244.6,254.8,0.8
17,15,one,1.2,197.2,197.2,423.8,0.6
17,16,",",0.0,0.0,0.0,0.0,0.0
17,17,you'll,1.0,97.4,251.4,206.6,0.4
17,18,feel,2.2,248.6,248.6,417.4,0.8
17,19,like,1.4,155.4,468.0,282.0,0.8
17,20,mopping,3.6,209.2,1103.2,817.0,0.8
17,21,up,1.8,130.6,1971.2,344.0,0.6
17,22,",",0.6,146.0,439.6,218.0,0.4
17,23,too,1.6,143.2,2469.6,489.2,0.6
17,24,.<EOS>,0.8,83.6,2257.6,140.8,0.4
18,0,So,0.4,105.8,105.8,105.8,0.4
18,1,riddled,4.0,155.8,539.6,1223.2,0.8
18,2,with,0.8,86.0,208.0,112.0,0.6
18,3,unanswered,2.2,135.2,409.0,712.2,0.8
18,4,questions,2.2,191.8,245.8,532.2,1.0
18,5,that,0.8,201.4,201.4,201.4,0.8
18,6,it,0.6,122.0,122.0,167.2,0.4
18,7,requires,1.8,260.2,260.2,470.0,0.8
18,8,gargantuan,3.0,345.2,560.0,855.2,1.0
18,9,leaps,1.8,291.0,312.4,492.4,1.0
18,10,of,0.4,161.8,257.2,161.8,0.4
18,11,faith,2.2,270.2,359.4,730.0,1.0
18,12,just,0.8,87.2,698.4,139.2,0.6
18,13,to,0.2,29.2,126.6,29.2,0.2
18,14,watch,1.0,70.6,70.6,196.8,0.4
18,15,it,1.0,100.6,159.2,209.2,0.6
18,16,plod,3.2,88.6,276.0,495.2,0.6
18,17,along,2.2,158.0,843.6,520.2,0.8
18,18,.<EOS>,5.6,98.0,4524.0,867.2,0.6
19,0,Polished,4.6,401.6,442.2,1596.8,0.8
19,1,korean,3.8,221.8,303.8,1046.0,0.8
19,2,political-action,6.4,233.2,695.2,1652.8,1.0
19,3,film,1.2,332.6,332.6,374.6,1.0
19,4,is,0.8,77.2,77.2,133.8,0.4
19,5,just,2.6,266.8,293.6,640.4,1.0
19,6,as,0.6,127.2,127.2,162.4,0.4
19,7,good,2.8,208.8,350.6,786.0,0.8
19,8,--,0.6,57.2,57.2,74.4,0.4
19,9,and,1.6,135.4,158.8,298.6,0.8
19,10,bad,2.4,217.4,367.0,682.0,0.8
19,11,--,0.2,44.0,44.0,44.0,0.2
19,12,as,0.0,0.0,0.0,0.0,0.0
19,13,hollywood,3.8,284.6,550.8,1050.8,0.8
19,14,action,2.4,290.6,869.0,882.4,0.8
19,15,epics,1.4,175.8,1760.4,453.8,0.8
19,16,.,0.0,0.0,0.0,0.0,0.0
19,17,is,1.0,107.6,141.6,210.2,0.4
19,18,this,1.6,149.4,149.4,423.4,0.6
19,19,progress,5.0,142.0,2328.6,1081.8,1.0
19,20,?<EOS>,2.0,163.4,5701.6,561.4,0.6
20,0,Satin,1.6,276.8,377.4,584.0,0.6
20,1,rouge,1.6,159.2,217.8,522.0,0.6
20,2,is,0.2,104.0,104.0,104.0,0.2
20,3,not,1.8,160.6,181.2,402.4,0.8
20,4,a,0.6,115.4,316.0,115.4,0.6
20,5,new,0.2,70.6,70.6,70.6,0.2
20,6,",",0.6,207.8,207.8,207.8,0.6
20,7,or,0.2,48.6,48.6,48.6,0.2
20,8,inventive,1.2,312.8,312.8,374.0,0.8
20,9,",",0.0,0.0,0.0,0.0,0.0
20,10,journey,2.0,285.8,367.8,572.4,0.8
20,11,",",0.2,31.4,172.8,31.4,0.2
20,12,but,0.6,122.6,122.6,122.6,0.6
20,13,it's,1.0,271.0,271.0,337.0,0.8
20,14,encouraging,1.8,166.8,182.8,366.0,0.8
20,15,to,0.0,0.0,0.0,0.0,0.0
